2020-04-17 11:04:25
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 1.54, 2.02, 2.53
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","lbf_size","num_hashes","table_size","target_fpr","tau"
"MyFixtureLearned/TestBloomFilterStringQuery/0/0",1,5.36337e+09,5.17264e+09,ns,,,,,,10.9974,88628,4,67768,0.05,0.25
"MyFixtureLearned/TestBloomFilterStringQuery/0/1",1,5.11812e+09,5.09301e+09,ns,,,,,,10.5365,88628,4,67768,0.05,0.275
"MyFixtureLearned/TestBloomFilterStringQuery/0/2",1,5.02403e+09,5.01335e+09,ns,,,,,,9.85435,88628,4,67768,0.05,0.3
"MyFixtureLearned/TestBloomFilterStringQuery/0/3",1,5.52605e+09,5.45308e+09,ns,,,,,,9.43031,88628,4,67768,0.05,0.325
"MyFixtureLearned/TestBloomFilterStringQuery/0/4",1,5.98392e+09,5.95223e+09,ns,,,,,,8.84956,88628,4,67768,0.05,0.35
"MyFixtureLearned/TestBloomFilterStringQuery/0/5",1,6.08472e+09,6.05752e+09,ns,,,,,,8.39786,88628,4,67768,0.05,0.375
"MyFixtureLearned/TestBloomFilterStringQuery/0/6",1,5.8585e+09,5.84566e+09,ns,,,,,,7.9646,88628,4,67768,0.05,0.4
"MyFixtureLearned/TestBloomFilterStringQuery/0/7",1,7.75402e+09,7.62326e+09,ns,,,,,,7.3101,88628,4,67768,0.05,0.425
"MyFixtureLearned/TestBloomFilterStringQuery/0/8",1,1.4863e+10,1.34998e+10,ns,,,,,,7.19948,88628,4,67768,0.05,0.45
"MyFixtureLearned/TestBloomFilterStringQuery/0/9",1,1.11272e+10,1.06743e+10,ns,,,,,,6.81232,88628,4,67768,0.05,0.475
"MyFixtureLearned/TestBloomFilterStringQuery/0/10",1,1.37148e+10,1.28961e+10,ns,,,,,,6.49889,88628,4,67768,0.05,0.5
"MyFixtureLearned/TestBloomFilterStringQuery/0/11",1,1.0215e+10,9.9977e+09,ns,,,,,,6.21313,88628,4,67768,0.05,0.525
"MyFixtureLearned/TestBloomFilterStringQuery/0/12",1,8.48971e+09,8.34742e+09,ns,,,,,,6.01032,88628,4,67768,0.05,0.55
"MyFixtureLearned/TestBloomFilterStringQuery/0/13",1,9.83264e+09,9.49055e+09,ns,,,,,,5.52176,88628,4,67768,0.05,0.575
"MyFixtureLearned/TestBloomFilterStringQuery/0/14",1,7.30016e+09,7.23702e+09,ns,,,,,,5.44801,88628,4,67768,0.05,0.6
"MyFixtureLearned/TestBloomFilterStringQuery/0/15",1,5.94672e+09,5.93665e+09,ns,,,,,,5.02397,88628,4,67768,0.05,0.625
"MyFixtureLearned/TestBloomFilterStringQuery/0/16",1,6.13534e+09,6.11789e+09,ns,,,,,,4.79351,88628,4,67768,0.05,0.65
"MyFixtureLearned/TestBloomFilterStringQuery/0/17",1,6.58065e+09,6.5587e+09,ns,,,,,,4.47087,88628,4,67768,0.05,0.675
"MyFixtureLearned/TestBloomFilterStringQuery/0/18",1,6.09349e+09,6.04607e+09,ns,,,,,,4.2865,88628,4,67768,0.05,0.7
"MyFixtureLearned/TestBloomFilterStringQuery/0/19",1,5.16703e+09,5.1644e+09,ns,,,,,,4.07448,88628,4,67768,0.05,0.725
"MyFixtureLearned/TestBloomFilterStringQuery/0/20",1,4.66129e+09,4.65953e+09,ns,,,,,,4.00074,88628,4,67768,0.05,0.75
