2020-03-09 20:40:53
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 2.43, 2.61, 2.40
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/2/4/8",314,2.33388e+06,2.33214e+06,ns,,,,,,12.5,1,8
"MyFixtureLearned/TestBloomFilterStringQuery/8/4/8",308,2.41413e+06,2.41071e+06,ns,,,,,,12.5,3,24
"MyFixtureLearned/TestBloomFilterStringQuery/64/4/8",280,2.27873e+06,2.27714e+06,ns,,,,,,12.5,6,40
"MyFixtureLearned/TestBloomFilterStringQuery/512/4/8",315,2.23705e+06,2.23643e+06,ns,,,,,,12.5,9,56
"MyFixtureLearned/TestBloomFilterStringQuery/2048/4/8",316,2.726e+06,2.70556e+06,ns,,,,,,12.5,11,64
"MyFixtureLearned/TestBloomFilterStringQuery/2/8/8",311,2.36092e+06,2.35784e+06,ns,,,,,,12.5,1,16
"MyFixtureLearned/TestBloomFilterStringQuery/8/8/8",296,2.31857e+06,2.31744e+06,ns,,,,,,12.5,3,40
"MyFixtureLearned/TestBloomFilterStringQuery/64/8/8",315,2.29141e+06,2.28847e+06,ns,,,,,,12.5,6,72
"MyFixtureLearned/TestBloomFilterStringQuery/512/8/8",296,2.23778e+06,2.23752e+06,ns,,,,,,12.5,9,104
"MyFixtureLearned/TestBloomFilterStringQuery/2048/8/8",297,2.32887e+06,2.32763e+06,ns,,,,,,12.5,11,128
"MyFixtureLearned/TestBloomFilterStringQuery/2/64/8",304,2.42388e+06,2.41892e+06,ns,,,,,,12.5,1,96
"MyFixtureLearned/TestBloomFilterStringQuery/8/64/8",296,2.48503e+06,2.47992e+06,ns,,,,,,12.5,3,280
"MyFixtureLearned/TestBloomFilterStringQuery/64/64/8",310,2.23982e+06,2.23938e+06,ns,,,,,,12.5,6,560
"MyFixtureLearned/TestBloomFilterStringQuery/512/64/8",312,2.61376e+06,2.58661e+06,ns,,,,,,12.5,9,832
"MyFixtureLearned/TestBloomFilterStringQuery/2048/64/8",308,2.42851e+06,2.41773e+06,ns,,,,,,12.5,11,1016
"MyFixtureLearned/TestBloomFilterStringQuery/2/512/8",310,2.37642e+06,2.3747e+06,ns,,,,,,12.5,1,744
"MyFixtureLearned/TestBloomFilterStringQuery/8/512/8",300,2.37057e+06,2.36765e+06,ns,,,,,,12.5,3,2216
