2019-11-18 15:38:51
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 2.06, 2.73, 3.37
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/10/10000/1000",1388,478204,462505,ns,,,,,,0,3,48088
"MyFixtureLearned/TestBloomFilterStringQuery/64/10000/1000",1479,559464,526472,ns,,,,,,0,6,86568
"MyFixtureLearned/TestBloomFilterStringQuery/512/10000/1000",1193,562050,487961,ns,,,,,,0,9,129848
"MyFixtureLearned/TestBloomFilterStringQuery/4096/10000/1000",1395,505652,477679,ns,,,,,,0,12,173128
"MyFixtureLearned/TestBloomFilterStringQuery/8192/10000/1000",1269,506569,480346,ns,,,,,,0,13,187552
"MyFixtureLearned/TestBloomFilterStringQuery/10/32768/1000",1399,462405,449427,ns,,,,,,0,3,157560
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/1000",1498,483041,470751,ns,,,,,,0,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/1000",1497,494680,468450,ns,,,,,,0,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/4096/32768/1000",1323,514440,481203,ns,,,,,,0,12,567296
"MyFixtureLearned/TestBloomFilterStringQuery/8192/32768/1000",1279,523466,486984,ns,,,,,,0,13,614568
"MyFixtureLearned/TestBloomFilterStringQuery/10/262144/1000",1348,486013,457967,ns,,,,,,0,3,1.26048e+06
"MyFixtureLearned/TestBloomFilterStringQuery/64/262144/1000",1367,505047,480663,ns,,,,,,0,6,2.26917e+06
"MyFixtureLearned/TestBloomFilterStringQuery/512/262144/1000",1370,541102,502404,ns,,,,,,0,9,3.40374e+06
"MyFixtureLearned/TestBloomFilterStringQuery/4096/262144/1000",1317,540743,511837,ns,,,,,,0,12,4.53833e+06
"MyFixtureLearned/TestBloomFilterStringQuery/8192/262144/1000",1208,566762,526608,ns,,,,,,0,13,4.91652e+06
"MyFixtureLearned/TestBloomFilterStringQuery/10/2097152/1000",1340,564810,535736,ns,,,,,,0,3,1.00838e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/2097152/1000",1295,526506,505268,ns,,,,,,0,6,1.81533e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/2097152/1000",1217,620827,582147,ns,,,,,,0,9,2.723e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/2097152/1000",1195,577271,556664,ns,,,,,,0,12,3.63066e+07
"MyFixtureLearned/TestBloomFilterStringQuery/8192/2097152/1000",1089,897617,749409,ns,,,,,,0,13,3.93322e+07
"MyFixtureLearned/TestBloomFilterStringQuery/10/16777216/1000",855,629256,584918,ns,,,,,,0,3,8.06704e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/16777216/1000",1163,706062,628226,ns,,,,,,0,6,1.45226e+08
"MyFixtureLearned/TestBloomFilterStringQuery/512/16777216/1000",1150,648358,581747,ns,,,,,,0,9,2.1784e+08
"MyFixtureLearned/TestBloomFilterStringQuery/4096/16777216/1000",1120,663261,613048,ns,,,,,,0,12,2.90453e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/16777216/1000",1065,703193,598408,ns,,,,,,0,13,3.14657e+08
"MyFixtureLearned/TestBloomFilterStringQuery/10/134217728/1000",1217,552079,527916,ns,,,,,,0,3,6.45363e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/134217728/1000",1145,588801,561606,ns,,,,,,0,6,1.16181e+09
"MyFixtureLearned/TestBloomFilterStringQuery/512/134217728/1000",1150,681907,611487,ns,,,,,,0,9,1.74272e+09
"MyFixtureLearned/TestBloomFilterStringQuery/4096/134217728/1000",861,770558,675562,ns,,,,,,0,12,-1.97134e+09
"MyFixtureLearned/TestBloomFilterStringQuery/8192/134217728/1000",1195,613261,587889,ns,,,,,,0,13,-1.77771e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/1000000000/1000",1253,603026,567384,ns,,,,,,0,3,5.1336e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/1000000000/1000",1306,714016,686686,ns,,,,,,0,6,6.62357e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/1000000000/1000",1131,589679,574003,ns,,,,,,0,9,9.93535e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/1000000000/1000",1204,546499,524811,ns,,,,,,0,12,1.32471e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/1000000000/1000",1318,554566,530517,ns,,,,,,0,13,1.57517e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/10000/4096",395,1.79808e+06,1.74398e+06,ns,,,,,,1.31836,3,48088
"MyFixtureLearned/TestBloomFilterStringQuery/64/10000/4096",398,1.83238e+06,1.79901e+06,ns,,,,,,0,6,86568
"MyFixtureLearned/TestBloomFilterStringQuery/512/10000/4096",402,1.81879e+06,1.79782e+06,ns,,,,,,0,9,129848
"MyFixtureLearned/TestBloomFilterStringQuery/4096/10000/4096",386,1.87436e+06,1.79171e+06,ns,,,,,,0,12,173128
"MyFixtureLearned/TestBloomFilterStringQuery/8192/10000/4096",384,1.85826e+06,1.79352e+06,ns,,,,,,0,13,187552
"MyFixtureLearned/TestBloomFilterStringQuery/10/32768/4096",391,1.77719e+06,1.7388e+06,ns,,,,,,0.0488281,3,157560
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/4096",412,1.85244e+06,1.77192e+06,ns,,,,,,0,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/4096",355,1.88856e+06,1.77377e+06,ns,,,,,,0,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/4096/32768/4096",420,1.81603e+06,1.73413e+06,ns,,,,,,0,12,567296
"MyFixtureLearned/TestBloomFilterStringQuery/8192/32768/4096",391,1.8215e+06,1.72586e+06,ns,,,,,,0,13,614568
"MyFixtureLearned/TestBloomFilterStringQuery/10/262144/4096",390,2.27045e+06,2.07376e+06,ns,,,,,,0,3,1.26048e+06
"MyFixtureLearned/TestBloomFilterStringQuery/64/262144/4096",223,3.55179e+06,3.00747e+06,ns,,,,,,0,6,2.26917e+06
"MyFixtureLearned/TestBloomFilterStringQuery/512/262144/4096",206,2.85649e+06,2.63443e+06,ns,,,,,,0,9,3.40374e+06
"MyFixtureLearned/TestBloomFilterStringQuery/4096/262144/4096",269,2.83422e+06,2.67876e+06,ns,,,,,,0,12,4.53833e+06
"MyFixtureLearned/TestBloomFilterStringQuery/8192/262144/4096",288,2.29468e+06,2.18983e+06,ns,,,,,,0,13,4.91652e+06
"MyFixtureLearned/TestBloomFilterStringQuery/10/2097152/4096",284,2.44379e+06,2.33128e+06,ns,,,,,,0,3,1.00838e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/2097152/4096",286,3.22912e+06,3.01297e+06,ns,,,,,,0,6,1.81533e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/2097152/4096",278,2.91158e+06,2.46463e+06,ns,,,,,,0,9,2.723e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/2097152/4096",271,3.26988e+06,2.75434e+06,ns,,,,,,0,12,3.63066e+07
"MyFixtureLearned/TestBloomFilterStringQuery/8192/2097152/4096",248,3.43419e+06,3.0455e+06,ns,,,,,,0,13,3.93322e+07
"MyFixtureLearned/TestBloomFilterStringQuery/10/16777216/4096",234,4.3632e+06,3.32784e+06,ns,,,,,,0,3,8.06704e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/16777216/4096",176,5.87664e+06,4.22114e+06,ns,,,,,,0,6,1.45226e+08
"MyFixtureLearned/TestBloomFilterStringQuery/512/16777216/4096",140,5.66425e+06,4.14774e+06,ns,,,,,,0,9,2.1784e+08
"MyFixtureLearned/TestBloomFilterStringQuery/4096/16777216/4096",200,3.19271e+06,2.89878e+06,ns,,,,,,0,12,2.90453e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/16777216/4096",258,2.41043e+06,2.31451e+06,ns,,,,,,0,13,3.14657e+08
"MyFixtureLearned/TestBloomFilterStringQuery/10/134217728/4096",296,2.63892e+06,2.53652e+06,ns,,,,,,0,3,6.45363e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/134217728/4096",269,3.0265e+06,2.73799e+06,ns,,,,,,0,6,1.16181e+09
"MyFixtureLearned/TestBloomFilterStringQuery/512/134217728/4096",237,3.02302e+06,2.86327e+06,ns,,,,,,0,9,1.74272e+09
"MyFixtureLearned/TestBloomFilterStringQuery/4096/134217728/4096",234,3.22499e+06,3.07953e+06,ns,,,,,,0,12,-1.97134e+09
"MyFixtureLearned/TestBloomFilterStringQuery/8192/134217728/4096",223,2.55421e+06,2.45505e+06,ns,,,,,,0,13,-1.77771e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/1000000000/4096",345,2.0552e+06,1.9664e+06,ns,,,,,,0,3,5.1336e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/1000000000/4096",289,2.19195e+06,2.16767e+06,ns,,,,,,0,6,6.62357e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/1000000000/4096",327,2.70233e+06,2.56337e+06,ns,,,,,,0,9,9.93535e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/1000000000/4096",311,2.54763e+06,2.47666e+06,ns,,,,,,0,12,1.32471e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/1000000000/4096",224,2.74419e+06,2.64107e+06,ns,,,,,,0,13,1.57517e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/10000/32768",31,1.98128e+07,1.93145e+07,ns,,,,,,65.9973,3,48088
"MyFixtureLearned/TestBloomFilterStringQuery/64/10000/32768",28,2.16295e+07,2.11711e+07,ns,,,,,,52.2552,6,86568
"MyFixtureLearned/TestBloomFilterStringQuery/512/10000/32768",31,2.38366e+07,2.33865e+07,ns,,,,,,37.1582,9,129848
"MyFixtureLearned/TestBloomFilterStringQuery/4096/10000/32768",27,2.46862e+07,2.39034e+07,ns,,,,,,26.9958,12,173128
