2019-11-18 16:28:01
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 6.71, 4.42, 3.96
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/10/10000/1000",1174,755434,591572,ns,,,,,,0,3,48088
"MyFixtureLearned/TestBloomFilterStringQuery/64/10000/1000",1163,782566,599845,ns,,,,,,0,6,86568
"MyFixtureLearned/TestBloomFilterStringQuery/512/10000/1000",1131,796645,630935,ns,,,,,,0,9,129848
"MyFixtureLearned/TestBloomFilterStringQuery/4096/10000/1000",1110,925415,607659,ns,,,,,,0,12,173128
"MyFixtureLearned/TestBloomFilterStringQuery/8192/10000/1000",1069,811094,608245,ns,,,,,,0,13,187552
"MyFixtureLearned/TestBloomFilterStringQuery/10/32768/1000",1127,946959,678444,ns,,,,,,0,3,157560
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/1000",1100,759775,659055,ns,,,,,,0,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/1000",995,699424,647377,ns,,,,,,0,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/4096/32768/1000",980,867591,662485,ns,,,,,,0,12,567296
"MyFixtureLearned/TestBloomFilterStringQuery/8192/32768/1000",1051,930794,695462,ns,,,,,,0,13,614568
"MyFixtureLearned/TestBloomFilterStringQuery/10/262144/1000",760,898373,720555,ns,,,,,,0,3,1.26048e+06
"MyFixtureLearned/TestBloomFilterStringQuery/64/262144/1000",948,935989,701127,ns,,,,,,0,6,2.26917e+06
"MyFixtureLearned/TestBloomFilterStringQuery/512/262144/1000",1100,822973,664480,ns,,,,,,0,9,3.40374e+06
"MyFixtureLearned/TestBloomFilterStringQuery/4096/262144/1000",1124,907113,656922,ns,,,,,,0,12,4.53833e+06
"MyFixtureLearned/TestBloomFilterStringQuery/8192/262144/1000",1044,810359,626017,ns,,,,,,0,13,4.91652e+06
"MyFixtureLearned/TestBloomFilterStringQuery/10/2097152/1000",1038,803251,637068,ns,,,,,,0,3,1.00838e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/2097152/1000",938,857991,663416,ns,,,,,,0,6,1.81533e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/2097152/1000",1029,825755,702231,ns,,,,,,0,9,2.723e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/2097152/1000",792,989817,766926,ns,,,,,,0,12,3.63066e+07
"MyFixtureLearned/TestBloomFilterStringQuery/8192/2097152/1000",842,925747,753251,ns,,,,,,0,13,3.93322e+07
"MyFixtureLearned/TestBloomFilterStringQuery/10/16777216/1000",760,885065,708397,ns,,,,,,0,3,8.06704e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/16777216/1000",1212,825238,649641,ns,,,,,,0,6,1.45226e+08
"MyFixtureLearned/TestBloomFilterStringQuery/512/16777216/1000",1175,732622,598289,ns,,,,,,0,9,2.1784e+08
"MyFixtureLearned/TestBloomFilterStringQuery/4096/16777216/1000",1060,751479,611567,ns,,,,,,0,12,2.90453e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/16777216/1000",815,795976,649778,ns,,,,,,0,13,3.14657e+08
"MyFixtureLearned/TestBloomFilterStringQuery/10/134217728/1000",1051,760364,632543,ns,,,,,,0,3,6.45363e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/134217728/1000",1087,782682,629534,ns,,,,,,0,6,1.16181e+09
"MyFixtureLearned/TestBloomFilterStringQuery/512/134217728/1000",1115,768379,626596,ns,,,,,,0,9,1.74272e+09
"MyFixtureLearned/TestBloomFilterStringQuery/4096/134217728/1000",965,928926,756590,ns,,,,,,0,12,-1.97134e+09
"MyFixtureLearned/TestBloomFilterStringQuery/8192/134217728/1000",1001,951850,736559,ns,,,,,,0,13,-1.77771e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/1000000000/1000",892,813686,660679,ns,,,,,,0,3,5.1336e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/1000000000/1000",1015,794148,671849,ns,,,,,,0,6,6.62357e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/1000000000/1000",1200,760373,625640,ns,,,,,,0,9,9.93535e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/1000000000/1000",1150,922438,669117,ns,,,,,,0,12,1.32471e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/1000000000/1000",1133,794376,669929,ns,,,,,,0,13,1.57517e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/10000/4096",374,2.14002e+06,1.96521e+06,ns,,,,,,1.31836,3,48088
"MyFixtureLearned/TestBloomFilterStringQuery/64/10000/4096",371,2.0653e+06,1.9906e+06,ns,,,,,,0,6,86568
"MyFixtureLearned/TestBloomFilterStringQuery/512/10000/4096",359,2.26761e+06,2.03243e+06,ns,,,,,,0,9,129848
"MyFixtureLearned/TestBloomFilterStringQuery/4096/10000/4096",354,2.14921e+06,2.08775e+06,ns,,,,,,0,12,173128
"MyFixtureLearned/TestBloomFilterStringQuery/8192/10000/4096",350,2.04728e+06,1.91468e+06,ns,,,,,,0,13,187552
"MyFixtureLearned/TestBloomFilterStringQuery/10/32768/4096",352,2.1331e+06,1.99778e+06,ns,,,,,,0.0488281,3,157560
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/4096",377,1.95906e+06,1.8462e+06,ns,,,,,,0,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/4096",369,1.99975e+06,1.8365e+06,ns,,,,,,0,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/4096/32768/4096",385,2.93124e+06,2.16778e+06,ns,,,,,,0,12,567296
"MyFixtureLearned/TestBloomFilterStringQuery/8192/32768/4096",335,1.97126e+06,1.8939e+06,ns,,,,,,0,13,614568
"MyFixtureLearned/TestBloomFilterStringQuery/10/262144/4096",340,1.95037e+06,1.89033e+06,ns,,,,,,0,3,1.26048e+06
"MyFixtureLearned/TestBloomFilterStringQuery/64/262144/4096",249,2.57049e+06,2.20927e+06,ns,,,,,,0,6,2.26917e+06
"MyFixtureLearned/TestBloomFilterStringQuery/512/262144/4096",325,2.02996e+06,1.97833e+06,ns,,,,,,0,9,3.40374e+06
"MyFixtureLearned/TestBloomFilterStringQuery/4096/262144/4096",354,2.11736e+06,1.98829e+06,ns,,,,,,0,12,4.53833e+06
