function,inv_max_fpr,projected_eles,num_gen_eles,len_gen_eles,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,2,1000,8,10,223687,3147.68,3140.15,ns,,,,,,12.5,1,1448
TestBloomFilterStringQuery,8,1000,8,10,220010,3123.41,3122.54,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8,10,225454,3329.45,3288.37,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8,10,215819,3179.62,3162.84,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8,10,226586,3148.91,3136.84,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8,10,222619,3334.23,3288.5,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8,10,218926,3224.59,3197.7,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8,10,220974,3275.7,3238.73,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8,10,222953,3130.37,3121.03,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8,10,222731,3169.69,3158.23,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,8,10,224192,3106.57,3101.81,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,8,10,219587,3306.78,3269.35,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,8,10,201342,3474.54,3409.98,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8,10,206376,3222.58,3202.5,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8,10,208778,3390.18,3351.58,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8,10,208579,3242.01,3214.17,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,8,10,220334,3597.5,3513.29,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8,10,212602,3090.56,3085.27,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8,10,224282,3091.31,3087.08,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8,10,226213,3136.33,3126.83,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8,10,203979,3959.91,3540.83,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8,10,222902,3123.09,3114.46,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8,10,227684,3077.1,3071.15,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8,10,222935,3108.97,3099.62,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8,10,225605,3242.16,3230.52,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,64,10,126188,5352.02,5352.53,ns,,,,,,25,1,1448
TestBloomFilterStringQuery,8,1000,64,10,117655,5958.56,5948.88,ns,,,,,,3.125,3,4328
TestBloomFilterStringQuery,64,1000,64,10,130944,5342.05,5324.14,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,64,10,130660,5318.81,5296.24,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,64,10,125423,5599.31,5569.02,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,64,10,133874,5112.57,5109.15,ns,,,,,,10.9375,1,5912
TestBloomFilterStringQuery,8,4096,64,10,135326,5167.54,5160.81,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,64,10,134987,5140.32,5128.75,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,64,10,135922,5111.52,5086.25,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,64,10,137722,5146.25,5116.26,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,64,10,137633,4990.05,4983.51,ns,,,,,,1.5625,1,47280
TestBloomFilterStringQuery,8,32768,64,10,135677,5088.9,5071.41,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,64,10,137511,5103.99,5083.37,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,64,10,136620,5161.53,5124.84,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,64,10,135023,5227.72,5183,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,64,10,137320,5011.47,5005.4,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,64,10,135701,5078.58,5057.88,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,64,10,135263,5160.7,5137.47,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,64,10,134179,5256.8,5215.88,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,64,10,127270,5332.5,5276.95,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,64,10,136126,5095.3,5077.58,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,64,10,136743,5125.44,5104.09,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,64,10,134914,5342.73,5296.83,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,64,10,132674,5797.81,5665.05,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,64,10,125804,6020.79,5865.97,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,512,10,29326,23075.7,22858.4,ns,,,,,,95.5078,1,1448
TestBloomFilterStringQuery,8,1000,512,10,13307,54895.3,53826.9,ns,,,,,,87.5,3,4328
TestBloomFilterStringQuery,64,1000,512,10,16157,48671,47042.1,ns,,,,,,4.49219,6,8656
TestBloomFilterStringQuery,512,1000,512,10,17785,38255.6,37872.6,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,512,10,19959,36358.5,36018,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,512,10,27368,25652.9,25470.5,ns,,,,,,55.8594,1,5912
TestBloomFilterStringQuery,8,4096,512,10,20261,34759.4,34720.9,ns,,,,,,27.9297,3,17728
TestBloomFilterStringQuery,64,4096,512,10,27592,25428.3,25357.8,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,512,10,28019,25142.2,25040.3,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,512,10,29022,24667.5,24581,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,512,10,33118,20801.4,20764.6,ns,,,,,,7.22656,1,47280
TestBloomFilterStringQuery,8,32768,512,10,32015,21795.1,21742.5,ns,,,,,,0.585938,3,141824
TestBloomFilterStringQuery,64,32768,512,10,32796,21519.9,21447.4,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,512,10,33785,20942.3,20828.3,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,512,10,33389,21221,21099.3,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,512,10,34472,20325.6,20214.2,ns,,,,,,0.976562,1,378200
