function,inv_max_fpr,projected_eles,batch_size,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,2,4,8,6785,105619,105520,ns,,,,,,37.5,1,8
TestBloomFilterStringQuery,8,4,8,7024,102608,102553,ns,,,,,,12.5,3,24
TestBloomFilterStringQuery,64,4,8,7075,99762.8,99719.3,ns,,,,,,12.5,6,40
TestBloomFilterStringQuery,512,4,8,6798,100893,100878,ns,,,,,,0,9,56
TestBloomFilterStringQuery,2048,4,8,7008,102520,102459,ns,,,,,,0,11,64
TestBloomFilterStringQuery,2,8,8,7068,101163,101132,ns,,,,,,25,1,16
TestBloomFilterStringQuery,8,8,8,7057,101720,101684,ns,,,,,,0,3,40
TestBloomFilterStringQuery,64,8,8,6778,102256,102216,ns,,,,,,12.5,6,72
TestBloomFilterStringQuery,512,8,8,7011,102309,102240,ns,,,,,,0,9,104
TestBloomFilterStringQuery,2048,8,8,6988,102742,102707,ns,,,,,,0,11,128
TestBloomFilterStringQuery,2,64,8,6632,100564,100527,ns,,,,,,0,1,96
TestBloomFilterStringQuery,8,64,8,6967,102434,102373,ns,,,,,,0,3,280
TestBloomFilterStringQuery,64,64,8,6795,102187,102165,ns,,,,,,0,6,560
TestBloomFilterStringQuery,512,64,8,7181,103181,102987,ns,,,,,,0,9,832
TestBloomFilterStringQuery,2048,64,8,6921,101681,101607,ns,,,,,,0,11,1016
TestBloomFilterStringQuery,2,512,8,7118,101731,101643,ns,,,,,,0,1,744
TestBloomFilterStringQuery,8,512,8,6696,137292,125649,ns,,,,,,0,3,2216
TestBloomFilterStringQuery,64,512,8,6952,102621,102550,ns,,,,,,0,6,4432
TestBloomFilterStringQuery,512,512,8,7124,103068,102973,ns,,,,,,0,9,6648
TestBloomFilterStringQuery,2048,512,8,6912,99257.4,99232.2,ns,,,,,,0,11,8128
TestBloomFilterStringQuery,2,4096,8,6809,101160,101101,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8,6754,100531,100505,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8,7043,99272.1,99239.2,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8,6910,99220.4,99202.9,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8,7200,98145.2,98116.2,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,8,7266,100933,100896,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,8,6902,99268.9,99238.3,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,8,6887,101149,101096,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8,7097,101895,101864,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8,7070,99294.6,99266.5,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,60000,8,6816,100930,100858,ns,,,,,,0,1,86568
TestBloomFilterStringQuery,8,60000,8,6953,99318.7,99263.1,ns,,,,,,0,3,259688
TestBloomFilterStringQuery,64,60000,8,7193,100145,100070,ns,,,,,,0,6,519376
TestBloomFilterStringQuery,512,60000,8,7087,100690,100655,ns,,,,,,0,9,779056
TestBloomFilterStringQuery,2048,60000,8,7059,99267.7,99219.4,ns,,,,,,0,11,952184
TestBloomFilterStringQuery,2,4,64,865,761843,761660,ns,,,,,,100,1,8
TestBloomFilterStringQuery,8,4,64,813,770096,769550,ns,,,,,,100,3,24
TestBloomFilterStringQuery,64,4,64,913,771823,771481,ns,,,,,,100,6,40
TestBloomFilterStringQuery,512,4,64,925,780715,780293,ns,,,,,,100,9,56
TestBloomFilterStringQuery,2048,4,64,910,788790,788399,ns,,,,,,100,11,64
TestBloomFilterStringQuery,2,8,64,932,764900,764369,ns,,,,,,100,1,16
TestBloomFilterStringQuery,8,8,64,926,767399,767199,ns,,,,,,100,3,40
TestBloomFilterStringQuery,64,8,64,916,763735,763507,ns,,,,,,100,6,72
TestBloomFilterStringQuery,512,8,64,902,780451,780215,ns,,,,,,96.875,9,104
TestBloomFilterStringQuery,2048,8,64,875,783150,782952,ns,,,,,,100,11,128
TestBloomFilterStringQuery,2,64,64,866,753893,753651,ns,,,,,,57.8125,1,96
TestBloomFilterStringQuery,8,64,64,916,756920,756676,ns,,,,,,7.8125,3,280
TestBloomFilterStringQuery,64,64,64,928,757001,756825,ns,,,,,,0,6,560
TestBloomFilterStringQuery,512,64,64,897,760763,760595,ns,,,,,,0,9,832
TestBloomFilterStringQuery,2048,64,64,918,763695,763072,ns,,,,,,0,11,1016
TestBloomFilterStringQuery,2,512,64,917,763044,762806,ns,,,,,,4.6875,1,744
TestBloomFilterStringQuery,8,512,64,936,759905,759691,ns,,,,,,0,3,2216
TestBloomFilterStringQuery,64,512,64,907,769092,768857,ns,,,,,,0,6,4432
TestBloomFilterStringQuery,512,512,64,905,756860,756641,ns,,,,,,0,9,6648
TestBloomFilterStringQuery,2048,512,64,907,762968,762681,ns,,,,,,0,11,8128
TestBloomFilterStringQuery,2,4096,64,935,757019,756883,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,64,911,755961,755686,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,64,944,752856,752618,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,64,941,761405,761186,ns,,,,,,0,9,53184
