function,projected_eles,inv_max_fpr,pos_eles,ele_length,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
TestBloomFilterStringQuery,2,1000,8,10,1260013,536.983,536.866,ns,,,,,
TestBloomFilterStringQuery,8,1000,8,10,1243538,556.826,555.104,ns,,,,,
TestBloomFilterStringQuery,64,1000,8,10,1249175,535.953,535.882,ns,,,,,
TestBloomFilterStringQuery,512,1000,8,10,1272496,536.61,536.487,ns,,,,,
TestBloomFilterStringQuery,2048,1000,8,10,1283226,530.706,530.662,ns,,,,,
TestBloomFilterStringQuery,2,4096,8,10,1268645,536.473,536.353,ns,,,,,
TestBloomFilterStringQuery,8,4096,8,10,1268760,539.428,539.249,ns,,,,,
TestBloomFilterStringQuery,64,4096,8,10,1263059,535.326,535.296,ns,,,,,
TestBloomFilterStringQuery,512,4096,8,10,1252438,537.82,537.623,ns,,,,,
TestBloomFilterStringQuery,2048,4096,8,10,1287333,534.58,534.24,ns,,,,,
TestBloomFilterStringQuery,2,32768,8,10,1277046,532,531.892,ns,,,,,
TestBloomFilterStringQuery,8,32768,8,10,1278282,538.556,538.521,ns,,,,,
TestBloomFilterStringQuery,64,32768,8,10,1296152,537.546,537.297,ns,,,,,
TestBloomFilterStringQuery,512,32768,8,10,1247305,540.103,540.058,ns,,,,,
TestBloomFilterStringQuery,2048,32768,8,10,1290251,531.894,531.605,ns,,,,,
TestBloomFilterStringQuery,2,262144,8,10,1304194,533.326,533.055,ns,,,,,
TestBloomFilterStringQuery,8,262144,8,10,1296993,534.71,534.501,ns,,,,,
TestBloomFilterStringQuery,64,262144,8,10,1297786,544.172,543.973,ns,,,,,
TestBloomFilterStringQuery,512,262144,8,10,1317226,537.564,537.524,ns,,,,,
TestBloomFilterStringQuery,2048,262144,8,10,1335852,535.67,535.606,ns,,,,,
TestBloomFilterStringQuery,2,1000000,8,10,1303635,534.76,534.648,ns,,,,,
TestBloomFilterStringQuery,8,1000000,8,10,1323702,535.028,534.885,ns,,,,,
TestBloomFilterStringQuery,64,1000000,8,10,1324002,528.349,528.325,ns,,,,,
TestBloomFilterStringQuery,512,1000000,8,10,1328853,530.839,530.816,ns,,,,,
TestBloomFilterStringQuery,2048,1000000,8,10,1308191,535.677,535.557,ns,,,,,
TestBloomFilterStringQuery,2,1000,64,10,167114,4197.82,4197.13,ns,,,,,
TestBloomFilterStringQuery,8,1000,64,10,167137,4238.17,4234.29,ns,,,,,
TestBloomFilterStringQuery,64,1000,64,10,165444,4121.93,4121.4,ns,,,,,
TestBloomFilterStringQuery,512,1000,64,10,167318,4282.93,4272.62,ns,,,,,
TestBloomFilterStringQuery,2048,1000,64,10,155768,4511.88,4490.78,ns,,,,,
TestBloomFilterStringQuery,2,4096,64,10,157464,4514.2,4491.68,ns,,,,,
TestBloomFilterStringQuery,8,4096,64,10,154342,4262.15,4259.48,ns,,,,,
TestBloomFilterStringQuery,64,4096,64,10,163602,4249.75,4247.8,ns,,,,,
TestBloomFilterStringQuery,512,4096,64,10,165209,4532.12,4502.3,ns,,,,,
TestBloomFilterStringQuery,2048,4096,64,10,150641,4269.99,4264.13,ns,,,,,
