function,inv_max_fpr,projected_eles,num_gen_eles,len_gen_eles,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,2,1000,8,10,69970,10491.1,10179.7,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,8,10,45052,13926.7,13316.6,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8,10,55004,13102.9,12631.9,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8,10,46121,15165.8,14601.6,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8,10,44154,17122.8,16347.9,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8,10,67481,9228.16,9020.32,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8,10,75827,12351.5,11884.1,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8,10,48610,13402.8,12867.8,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8,10,49487,13032.2,12563.1,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8,10,54657,13486.2,12969.9,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,8,10,78187,9001.5,8825.23,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,8,10,71424,10280.8,9994.25,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,8,10,63533,11282,10920.3,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8,10,54534,12479.3,12031.4,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8,10,54518,13884.7,13346.5,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8,10,79394,9078.54,8900.26,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,8,10,67562,11219,10822.2,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8,10,59506,12524.1,12051.1,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8,10,55288,13170,12638,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8,10,54838,13622.2,13046.8,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8,10,75413,9497.62,9272.91,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8,10,67004,10939.8,10597.8,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8,10,59558,12174.5,11710.5,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8,10,54223,14003.9,13373.1,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8,10,47713,15335.2,14624.4,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,64,10,45262,15602.6,15444.4,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,64,10,42750,16658.2,16422.9,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,64,10,39821,18113.8,17765.2,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,64,10,29298,24113.8,23703.9,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,64,10,29175,23592.1,23239.2,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,64,10,46689,15111.8,15000.4,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,64,10,44567,15737.4,15591.8,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,64,10,42760,16352.9,16164.1,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,64,10,34267,20788.6,20538.3,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,64,10,34789,20652.1,20347.1,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,64,10,45976,15445.1,15313,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,64,10,43636,16194.4,16020.3,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,64,10,40996,17044,16821.5,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,64,10,38003,18966.3,18647.5,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,64,10,37108,19481.4,19133.2,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,64,10,44016,15621.6,15496.6,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,64,10,41960,16884.9,16667.5,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,64,10,39326,18201,17872.7,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,64,10,37119,19015.3,18643.9,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,64,10,36123,20211.3,19756.1,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,64,10,43347,16405.4,16212.9,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,64,10,40756,17566.4,17293.1,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,64,10,38050,19075.6,18685.6,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,64,10,34189,20607.6,20115.7,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,64,10,32506,21760.7,21222.8,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,512,10,9920,70434.6,70305.4,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,512,10,9735,71230.3,71014.2,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,512,10,9682,72180.7,71920,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,512,10,6099,114991,114657,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,512,10,6144,114787,114403,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,512,10,9799,70978.7,70833.5,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,512,10,9837,70946.5,70761.5,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,512,10,9852,72685.7,72403.1,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,512,10,6753,104193,103860,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,512,10,7045,99525.4,99173.2,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,512,10,9757,70654.7,70515.3,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,512,10,9398,71548.4,71354.9,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,512,10,9687,71775.8,71536.8,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,512,10,8947,78482.4,78167.1,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,512,10,8979,78744,78399.3,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,512,10,9782,71161.6,71009,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,512,10,9750,72004,71785.1,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,512,10,9561,73425.7,73090.2,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,512,10,9087,75608.7,75207.4,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,512,10,9084,76190.3,75715.8,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,512,10,9825,71195.5,71023.9,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,512,10,9628,73149.6,72890.4,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,512,10,9038,76348.6,75995.2,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,512,10,8565,80812.6,80279.7,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,512,10,8543,85094,84416.6,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,4096,10,1334,513173,512951,ns,,,,,,0,1,1448
