function,inv_max_fpr,projected_eles,num_gen_eles,len_gen_eles,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,2,1000,8,10,562825,1243.35,1242.58,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,8,10,563763,1243.29,1242.45,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8,10,563109,1244.12,1243.38,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8,10,564331,1241.17,1240.23,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8,10,563729,1242.58,1241.26,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8,10,562380,1243.33,1242.54,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8,10,562008,1244.65,1243.1,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8,10,562416,1245.91,1244.96,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8,10,563381,1244.95,1243.86,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8,10,563163,1243.25,1242.28,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,8,10,562388,1244.46,1243.66,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,8,10,561548,1245.88,1245.1,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,8,10,561116,1249.17,1248.28,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8,10,561776,1246.97,1246.06,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8,10,561085,1249.73,1248.56,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8,10,561291,1257.87,1255.25,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,8,10,561708,1249.72,1248.22,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8,10,560957,1250.83,1249.55,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8,10,559284,1252.8,1250.92,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8,10,559630,1252.87,1251.11,ns,,,,,,0,11,4.16014e+06
